player_id_tm,player_name,season,injury_type,date_from,date_until,days_absent,matches_missed
108390,Thibaut Courtois,25/26,Desgarro muscular,2026-03-17,2026-05-01,46,7
108390,Thibaut Courtois,25/26,Gastroenteritis gripal,2025-11-25,2025-11-30,6,1
108390,Thibaut Courtois,24/25,Lesión de espalda,2025-06-01,2025-06-15,15,2
108390,Thibaut Courtois,24/25,Lesión muscular,2025-03-19,2025-04-04,17,2
108390,Thibaut Courtois,24/25,Problemas del tendón de Aquiles,2024-10-23,2024-11-23,32,5
108390,Thibaut Courtois,24/25,Desgarro del aductor,2024-09-30,2024-10-18,19,4
108390,Thibaut Courtois,23/24,Menisco desgarrado,2024-03-19,2024-04-28,41,8
108390,Thibaut Courtois,23/24,Rotura del ligamento cruzado,2023-08-10,2024-03-31,235,50
108390,Thibaut Courtois,22/23,Molestias en el aductor,2023-03-26,2023-03-30,5,1
108390,Thibaut Courtois,22/23,Lesión en el muslo,2023-02-06,2023-02-17,12,3
108390,Thibaut Courtois,22/23,Problemas de ciática,2022-09-29,2022-10-17,19,5
108390,Thibaut Courtois,21/22,Pubis,2022-05-30,2022-06-30,32,4
108390,Thibaut Courtois,21/22,Coronavirus,2021-12-30,2022-01-03,5,
108390,Thibaut Courtois,20/21,Problemas del tendón de Aquiles,2020-10-05,2020-10-15,11,3
108390,Thibaut Courtois,19/20,Lesión muscular,2020-03-09,2020-03-26,18,
404839,Andriy Lunin,25/26,Lesión desconocida,2025-09-01,2025-09-10,10,
404839,Andriy Lunin,24/25,Lesión de mano,2025-05-14,2025-05-17,4,1
404839,Andriy Lunin,24/25,Lesión muscular,2025-04-06,2025-04-17,12,3
404839,Andriy Lunin,24/25,Infección,2024-10-06,2024-10-16,11,2
404839,Andriy Lunin,23/24,Problemas de espalda,2023-10-08,2023-10-18,11,2
404839,Andriy Lunin,21/22,Inflamación,2022-02-25,2022-03-01,5,1
404839,Andriy Lunin,21/22,Coronavirus,2021-12-16,2021-12-24,9,2
404839,Andriy Lunin,21/22,Coronavirus,2021-08-25,2021-09-06,13,3
404839,Andriy Lunin,20/21,Coronavirus,2020-10-05,2020-10-09,5,1
890290,Dean Huijsen,25/26,Desgarro muscular,2026-02-20,2026-03-02,11,2
890290,Dean Huijsen,25/26,Sobrecarga,2026-01-03,2026-01-07,5,1
890290,Dean Huijsen,25/26,Problemas musculares,2025-11-25,2025-12-12,18,5
890290,Dean Huijsen,25/26,Molestias en los gemelos,2025-11-10,2025-11-20,11,2
890290,Dean Huijsen,25/26,Molestias en los gemelos,2025-10-08,2025-10-23,16,4
890290,Dean Huijsen,23/24,Molestias en el aductor,2024-01-23,2024-01-28,6,
890290,Dean Huijsen,22/23,Hematoma en el pie,2023-03-10,2023-03-14,5,1
890290,Dean Huijsen,21/22,Traumatismo,2021-10-09,2021-10-18,10,2
935245,Raúl Asencio,25/26,Gastroenteritis gripal,2026-04-13,2026-04-21,9,1
935245,Raúl Asencio,25/26,Molestias en los gemelos,2026-03-12,2026-04-01,21,3
935245,Raúl Asencio,25/26,Traumatismo craneal,2026-02-25,2026-03-03,7,1
935245,Raúl Asencio,25/26,Fiebre,2025-12-16,2025-12-18,3,1
401530,Éder Militão,25/26,Lesión muscular,2026-04-21,2026-09-01,134,1
401530,Éder Militão,25/26,Desgarro fibrilar,2025-12-08,2026-03-31,114,24
401530,Éder Militão,25/26,Lesión muscular,2025-11-19,2025-11-28,10,2
401530,Éder Militão,24/25,Rotura del ligamento cruzado,2024-11-09,2025-06-30,234,54
401530,Éder Militão,24/25,Lesión muscular,2024-10-08,2024-10-18,11,2
401530,Éder Militão,24/25,Problemas musculares,2024-09-06,2024-09-13,8,2
401530,Éder Militão,23/24,Falta de condición física,2024-03-13,2024-03-30,18,3
401530,Éder Militão,23/24,Rotura del ligamento cruzado,2023-08-13,2024-03-13,214,45
401530,Éder Militão,22/23,Lesión muscular,2023-02-03,2023-02-09,7,2
401530,Éder Militão,22/23,Lesión en el muslo,2022-09-06,2022-09-16,11,2
401530,Éder Militão,21/22,Gripe,2022-03-14,2022-03-18,5,1
401530,Éder Militão,20/21,Traumatismo,2021-02-07,2021-03-05,27,5
401530,Éder Militão,20/21,Coronavirus,2020-11-02,2020-11-17,16,3
401530,Éder Militão,20/21,Traumatismo,2020-09-16,2020-10-16,31,6
401530,Éder Militão,17/18,Distensión de muslo,2017-10-31,2017-11-05,6,1
86202,Antonio Rüdiger,25/26,Lesión de rodilla,2026-01-09,2026-02-03,26,6
