id_transfermarkt,canonical_name,nationality,birth_date,position,team_slug,team_id_tm,season
12282,Daley Blind,Países Bajos,1990-03-09,Defensa central,fc-girona,12321,2024
15452,Raúl Albiol,España,1985-09-04,Defensa central,fc-villarreal,1050,2024
15956,Jesús Navas,España,1985-11-21,Interior derecho,fc-sevilla,368,2024
27493,Iván Cuéllar,España,1984-05-27,Portero,rcd-mallorca,237,2024
27992,Luka Modrić,Croacia,1985-09-09,Mediocentro,real-madrid,418,2024
30321,Óscar Trejo,Argentina,1988-04-26,Mediocentro ofensivo,rayo-vallecano,367,2024
35047,Axel Witsel,Bélgica,1989-01-12,Pivote,atletico-madrid,13,2024
38253,Robert Lewandowski,Polonia,1988-08-21,Delantero centro,fc-barcelona,131,2024
39125,Borna Barisic,Croacia,1992-11-10,Lateral izquierdo,cd-leganes,1244,2024
44058,Wojciech Szczęsny,Polonia,1990-04-18,Portero,fc-barcelona,131,2024
46413,Ante Budimir,Croacia,1991-07-22,Delantero centro,ca-osasuna,331,2024
57500,César Azpilicueta,España,1989-08-28,Defensa central,atletico-madrid,13,2024
59016,David Alaba,Austria,1992-06-24,Defensa central,real-madrid,418,2024
59323,Cristhian Stuani,Uruguay,1986-10-12,Delantero centro,fc-girona,12321,2024
59561,Dani Parejo,España,1989-04-16,Mediocentro,fc-villarreal,1050,2024
61812,Yuri Berchiche,España,1990-02-10,Lateral izquierdo,athletic-bilbao,621,2024
64399,Vicente Guaita,España,1987-01-10,Portero,celta-vigo,940,2024
66100,Oriol Romeu,España,1991-09-24,Pivote,fc-girona,12321,2024
71271,Adrián San Miguel,España,1987-01-03,Portero,real-betis-sevilla,150,2024
72047,Iago Aspas,España,1987-08-01,Delantero centro,celta-vigo,940,2024
73517,Ørjan Nyland,Noruega,1990-09-10,Portero,fc-sevilla,368,2024
74229,Koke,España,1992-01-08,Mediocentro,atletico-madrid,13,2024
74294,Nemanja Gudelj,Serbia,1991-11-16,Pivote,fc-sevilla,368,2024
74857,Marc-André ter Stegen,Alemania,1992-04-30,Portero,fc-barcelona,131,2024
76467,Kiko Femenía,España,1991-02-02,Lateral derecho,fc-villarreal,1050,2024
82503,Aridane Hernández,España,1989-03-23,Defensa central,rayo-vallecano,367,2024
85288,Isco,España,1992-04-21,Mediocentro ofensivo,real-betis-sevilla,150,2024
85295,Iván Balliu,Albania,1992-01-01,Lateral derecho,rayo-vallecano,367,2024
86202,Antonio Rüdiger,Alemania,1993-03-03,Defensa central,real-madrid,418,2024
86784,Ricardo Rodríguez,Suiza,1992-08-25,Lateral izquierdo,real-betis-sevilla,150,2024
88103,James Rodríguez,Colombia,1991-07-12,Mediocentro ofensivo,rayo-vallecano,367,2024
92947,Sergi Gómez,España,1992-03-28,Defensa central,espanyol-barcelona,714,2024
93936,Kike García,España,1989-11-25,Delantero centro,deportivo-alaves,1108,2024
94308,Marko Dmitrovic,Serbia,1992-01-24,Portero,cd-leganes,1244,2024
95641,Darko Brasanac,Serbia,1992-02-12,Mediocentro,cd-leganes,1244,2024
96718,Óscar de Marcos,España,1989-04-14,Lateral derecho,athletic-bilbao,621,2024
99343,Ander Herrera,España,1989-08-14,Mediocentro,athletic-bilbao,621,2024
99353,Portu,España,1992-05-21,Extremo derecho,fc-girona,12321,2024
99922,Marc Bartra,España,1991-01-15,Defensa central,real-betis-sevilla,150,2024
100131,William Carvalho,Portugal,1992-04-07,Pivote,real-betis-sevilla,150,2024
102423,Leandro Cabrera,Uruguay,1991-06-17,Defensa central,espanyol-barcelona,714,2024
108390,Thibaut Courtois,Bélgica,1992-05-11,Portero,real-madrid,418,2024
111508,Allan Nyom,Camerún,1988-05-10,Lateral derecho,fc-getafe,3709,2024
111961,Suso,España,1993-11-19,Mediocentro ofensivo,fc-sevilla,368,2024
112515,Marcos Alonso,España,1990-12-28,Defensa central,celta-vigo,940,2024
115333,Juanpe,España,1991-04-30,Defensa central,fc-girona,12321,2024
118997,Aitor Fernández,España,1991-05-03,Portero,ca-osasuna,331,2024
120095,José Campaña,España,1993-05-31,Mediocentro,ud-las-palmas,472,2024
120705,Juan Carlos,España,1988-01-20,Portero,fc-girona,12321,2024
121483,Jan Oblak,Eslovenia,1993-01-07,Portero,atletico-madrid,13,2024
125781,Antoine Griezmann,Francia,1991-03-21,Mediapunta,atletico-madrid,13,2024
126719,Juan Bernat,España,1993-03-01,Lateral izquierdo,fc-villarreal,1050,2024
126737,Juanmi,España,1993-05-20,Extremo izquierdo,real-betis-sevilla,150,2024
126751,Iñigo Ruiz de Galarreta,España,1993-08-06,Mediocentro,athletic-bilbao,621,2024
127048,Cédric Bakambu,RD del Congo,1991-04-11,Delantero centro,real-betis-sevilla,150,2024
127108,Florian Lejeune,Francia,1991-05-20,Defensa central,rayo-vallecano,367,2024
129444,David López,España,1989-10-09,Defensa central,fc-girona,12321,2024
