understat_match_id,understat_player_id,understat_team,player_name,minute,x,y,xg,result,shot_type,situation,side,last_action,player_assisted,season,source
26982,7779,Athletic Club,Oihan Sancet,26,81.69,37.33,0.0319,Goal,Right Foot,Open Play,h,Pass,Gorka Guruzeta,2024,understat
26982,2399,Athletic Club,Iñaki Williams,52,86.62,22.92,0.043,Off T,Left Foot,Open Play,h,Pass,Beñat Prados,2024,understat
26982,9211,Athletic Club,Nico Williams,76,81.27,49.3,0.0208,Saved,Right Foot,Open Play,h,Pass,Aitor Paredes,2024,understat
26982,9211,Athletic Club,Nico Williams,79,76.33,50.32,0.0363,Saved,Right Foot,Direct Freekick,h,Standard,,2024,understat
26982,7020,Athletic Club,Gorka Guruzeta,79,96.7,27.81,0.0836,Blocked,Right Foot,From Corner,h,Pass,Ander Herrera,2024,understat
26982,2399,Athletic Club,Iñaki Williams,86,82.95,31.42,0.0547,Blocked,Right Foot,Open Play,h,LayOff,Gorka Guruzeta,2024,understat
26982,2229,Athletic Club,Yuri,92,77.18,41.0,0.0199,Saved,Left Foot,Set Piece,h,Pass,Íñigo Lekue,2024,understat
26982,7609,Getafe,Carles Pérez,5,86.0,18.63,0.0191,Off T,Left Foot,Open Play,a,TakeOn,Alex Sola,2024,understat
26982,8986,Getafe,Omar Alderete,21,93.66,37.88,0.0694,Blocked,Head,Set Piece,a,Cross,Carles Pérez,2024,understat
26982,7609,Getafe,Carles Pérez,39,75.81,33.25,0.0141,Off T,Left Foot,Open Play,a,BallRecovery,Christantus Uche,2024,understat
26982,10188,Getafe,Peter,47,93.03,28.63,0.0695,Post,Left Foot,Open Play,a,OffsidePass,,2024,understat
26982,5058,Getafe,Carles Aleñá,51,94.4,35.9,0.2278,Saved,Left Foot,Open Play,a,Chipped,Omar Alderete,2024,understat
26982,8986,Getafe,Omar Alderete,53,101.95,43.79,0.0381,Blocked,Left Foot,From Corner,a,Cross,Luis Milla,2024,understat
26982,7424,Getafe,Alex Sola,61,74.55,32.1,0.009,Off T,Right Foot,Set Piece,a,Aerial,,2024,understat
26982,12726,Getafe,Christantus Uche,63,95.65,30.67,0.0792,Goal,Head,From Corner,a,Cross,Luis Milla,2024,understat
26982,12154,Getafe,Nabil Aberdin,84,73.29,48.76,0.0113,Off T,Right Foot,Open Play,a,Pass,Diego Rico,2024,understat
26983,6500,Real Betis,Romain Perraud,4,81.27,48.35,0.0228,Blocked,Right Foot,Open Play,h,TakeOn,Marc Roca,2024,understat
26983,2453,Real Betis,Marc Bartra,5,99.02,38.08,0.3703,Goal,Head,From Corner,h,Cross,Nabil Fekir,2024,understat
26983,6427,Real Betis,Aitor Ruibal,19,90.51,34.2,0.4115,Saved,Right Foot,Open Play,h,Pass,Juanmi,2024,understat
26983,6427,Real Betis,Aitor Ruibal,19,85.89,40.87,0.0587,Blocked,Right Foot,Open Play,h,Pass,Nabil Fekir,2024,understat
26983,2335,Real Betis,Pablo Fornals,37,85.57,33.39,0.0961,Blocked,Left Foot,Open Play,h,Pass,Aitor Ruibal,2024,understat
26983,6427,Real Betis,Aitor Ruibal,37,92.72,46.31,0.1108,Off T,Right Foot,Open Play,h,Rebound,,2024,understat
26983,6500,Real Betis,Romain Perraud,41,88.83,47.94,0.0417,Off T,Left Foot,Open Play,h,Pass,Aitor Ruibal,2024,understat
26983,897,Real Betis,Juanmi,43,97.55,33.12,0.0652,Off T,Head,From Corner,h,Aerial,Nabil Fekir,2024,understat
26983,6926,Real Betis,William Carvalho,45,86.2,21.28,0.0407,Blocked,Right Foot,Open Play,h,Pass,Youssouf Sabaly,2024,understat
26983,3399,Real Betis,Youssouf Sabaly,51,102.27,19.86,0.0551,Off T,Right Foot,Open Play,h,Pass,Pablo Fornals,2024,understat
26983,3667,Real Betis,Nabil Fekir,52,84.1,48.55,0.029,Off T,Left Foot,Open Play,h,Pass,Pablo Fornals,2024,understat
26983,2335,Real Betis,Pablo Fornals,56,43.89,17.0,0.0074,Off T,Right Foot,Open Play,h,BallRecovery,,2024,understat
26983,8410,Real Betis,Rodrigo Sánchez,62,90.51,25.16,0.1182,Saved,Left Foot,Open Play,h,None,,2024,understat
26983,6926,Real Betis,William Carvalho,63,99.22,37.74,0.0817,Saved,OtherBodyPart,From Corner,h,Cross,Nabil Fekir,2024,understat
26983,6955,Real Betis,Ezequiel Ávila,73,94.71,37.26,0.0895,Post,Right Foot,Open Play,h,None,,2024,understat
26983,12323,Real Betis,Johnny Cardoso,84,78.75,35.09,0.0229,Off T,Right Foot,Open Play,h,Pass,Ezequiel Ávila,2024,understat
26983,12323,Real Betis,Johnny Cardoso,85,85.15,33.52,0.0581,Off T,Right Foot,Open Play,h,BallTouch,Sergi Altimira,2024,understat
26983,3399,Real Betis,Youssouf Sabaly,89,95.34,28.76,0.1219,Blocked,Right Foot,Open Play,h,Pass,Nabil Fekir,2024,understat
26983,3667,Real Betis,Nabil Fekir,90,74.55,35.16,0.015,Off T,Left Foot,Open Play,h,Pass,Ezequiel Ávila,2024,understat
26983,7350,Girona,Yangel Herrera,16,94.18,31.55,0.0853,Off T,Right Foot,Open Play,a,Cross,Bryan Gil Salvatierra,2024,understat
26983,7338,Girona,Bryan Gil Salvatierra,21,95.13,30.53,0.0808,Off T,Head,Open Play,a,Cross,Miguel Gutiérrez,2024,understat
26983,7338,Girona,Bryan Gil Salvatierra,32,81.27,22.98,0.0198,Off T,Left Foot,Open Play,a,Tackle,,2024,understat
26983,7549,Girona,Abel Ruiz,34,84.95,36.31,0.0494,Blocked,Right Foot,Open Play,a,Pass,Portu,2024,understat
26983,6118,Girona,Portu,38,83.68,40.19,0.0529,Blocked,Right Foot,Open Play,a,Pass,Iván Martín,2024,understat
26983,7338,Girona,Bryan Gil Salvatierra,50,91.77,46.72,0.0458,Saved,Left Foot,Open Play,a,BallTouch,Abel Ruiz,2024,understat
26983,7338,Girona,Bryan Gil Salvatierra,57,79.8,24.21,0.022,Off T,Left Foot,Open Play,a,Pass,Iván Martín,2024,understat
26983,7549,Girona,Abel Ruiz,59,95.97,29.65,0.3687,Post,Right Foot,Open Play,a,Cross,Yangel Herrera,2024,understat
26983,12046,Girona,Jhon Solis,66,75.08,45.63,0.0148,Blocked,Right Foot,Open Play,a,Pass,Bryan Gil Salvatierra,2024,understat
26983,12722,Girona,Gabriel Misehouy,71,97.65,30.19,0.5033,Goal,Right Foot,Open Play,a,Pass,Iker Almena,2024,understat
26983,1709,Girona,Cristhian Stuani,85,97.23,32.57,0.136,Blocked,Right Foot,Open Play,a,Pass,Iván Martín,2024,understat
26983,12722,Girona,Gabriel Misehouy,87,96.92,37.67,0.1276,Blocked,Right Foot,Open Play,a,Pass,Miguel Gutiérrez,2024,understat
26983,11738,Girona,Iker Almena,92,82.32,21.15,0.0408,Off T,Left Foot,Open Play,a,Pass,Gabriel Misehouy,2024,understat
26984,6931,Celta Vigo,Fran Beltrán,22,82.11,43.93,0.0245,Off T,Right Foot,Open Play,h,Pass,Carl Starfelt,2024,understat
26984,2290,Celta Vigo,Iago Aspas,62,98.28,32.5,0.3468,Saved,Head,Open Play,h,Chipped,Óscar Mingueza,2024,understat
26984,9011,Celta Vigo,Óscar Mingueza,64,74.55,36.72,0.0472,Saved,Right Foot,Direct Freekick,h,Standard,,2024,understat
26984,10870,Celta Vigo,Williot Swedberg,65,86.2,27.27,0.0495,Goal,Right Foot,Open Play,h,HeadPass,Hugo Álvarez,2024,understat
26984,2290,Celta Vigo,Iago Aspas,83,98.18,44.2,0.2587,Goal,Left Foot,Open Play,h,Pass,Williot Swedberg,2024,understat
26984,2290,Celta Vigo,Iago Aspas,91,92.72,41.82,0.0671,Off T,Left Foot,Open Play,h,Cross,Ilaix Moriba,2024,understat
26984,5074,Alaves,Kike García,16,97.33,31.14,0.3109,Goal,Head,Open Play,a,Chipped,Antonio Blanco,2024,understat
26984,5179,Alaves,Jon Guridi,38,88.1,32.71,0.0268,Off T,Head,Open Play,a,Cross,Carlos Vicente,2024,understat
26984,5074,Alaves,Kike García,47,93.45,32.23,0.1075,Off T,Head,Open Play,a,Cross,Luka Romero,2024,understat
26984,9280,Alaves,Antonio Blanco,52,76.55,43.25,0.0195,Off T,Right Foot,Open Play,a,Pass,Ander Guevara,2024,understat
26984,5074,Alaves,Kike García,69,100.38,39.58,0.1018,Off T,Right Foot,Open Play,a,Cross,Luis Rioja,2024,understat
26984,5074,Alaves,Kike García,70,101.12,22.71,0.0382,Blocked,Right Foot,Open Play,a,Cross,Carlos Vicente,2024,understat
26984,9293,Alaves,Hugo Novoa Ramos,79,96.08,32.71,0.5965,Off T,Right Foot,Open Play,a,None,,2024,understat
26984,12717,Alaves,Stoichkov,80,91.77,41.96,0.3524,Blocked,Left Foot,Open Play,a,BallRecovery,,2024,understat
26984,5173,Alaves,Asier Villalibre,82,92.82,41.55,0.3583,Saved,Left Foot,Open Play,a,Throughball,Carlos Benavídez,2024,understat
26984,9280,Alaves,Antonio Blanco,88,85.37,46.38,0.0274,Blocked,Right Foot,Open Play,a,None,,2024,understat
26985,12160,Las Palmas,Alberto Moleiro,13,90.3,48.62,0.0416,Saved,Right Foot,Open Play,h,TakeOn,Álex Muñoz,2024,understat
26985,4168,Las Palmas,Javi Muñoz,15,70.88,34.0,0.0172,Blocked,Right Foot,Open Play,h,Pass,Enzo Loiodice,2024,understat
26985,11742,Las Palmas,Álex Suárez,24,3.25,28.49,0.0,OwnGoal,Right Foot,Open Play,h,Challenge,,2024,understat
26985,7009,Las Palmas,Jaime Mata,27,94.18,26.45,0.067,Off T,Left Foot,From Corner,h,HeadPass,Mika Mármol,2024,understat
26985,12160,Las Palmas,Alberto Moleiro,29,96.18,34.41,0.1104,Off T,Head,Open Play,h,Cross,Álex Muñoz,2024,understat
26985,1736,Las Palmas,Oliver McBurnie,35,100.59,34.95,0.5705,Saved,Left Foot,Open Play,h,Cross,Marvin Park,2024,understat
26985,10224,Las Palmas,Mika Mármol,37,83.79,43.25,0.0262,Off T,Left Foot,Set Piece,h,Pass,Oliver McBurnie,2024,understat
26985,10224,Las Palmas,Mika Mármol,49,97.75,40.12,0.0632,Blocked,Left Foot,From Corner,h,Cross,Enzo Loiodice,2024,understat
26985,5137,Las Palmas,Álex Muñoz,49,104.16,25.09,0.0157,Off T,Head,From Corner,h,Cross,Alberto Moleiro,2024,understat
26985,12160,Las Palmas,Alberto Moleiro,52,94.92,33.52,0.0934,Blocked,Right Foot,Open Play,h,Challenge,Javi Muñoz,2024,understat
26985,11743,Las Palmas,Kirian Rodríguez,56,72.03,36.31,0.0088,Off T,Right Foot,Open Play,h,Aerial,,2024,understat
26985,12160,Las Palmas,Alberto Moleiro,57,90.51,46.24,0.0421,Saved,Left Foot,Open Play,h,Pass,Javi Muñoz,2024,understat
26985,4168,Las Palmas,Javi Muñoz,57,96.39,36.11,0.1328,Off T,Head,Open Play,h,Cross,Álex Muñoz,2024,understat
26985,2537,Las Palmas,Sandro Ramírez,70,92.19,26.04,0.0954,Goal,Left Foot,Open Play,h,Throughball,Javi Muñoz,2024,understat
26985,12160,Las Palmas,Alberto Moleiro,76,74.87,29.65,0.0206,Saved,Right Foot,Open Play,h,Pass,Manu Fuster,2024,understat
26985,2537,Las Palmas,Sandro Ramírez,97,70.56,24.55,0.0137,Blocked,Left Foot,Open Play,h,Pass,Javi Muñoz,2024,understat
26985,2624,Sevilla,Djibril Sow,3,93.55,39.51,0.1145,Blocked,Right Foot,Open Play,a,Pass,Dodi Lukebakio,2024,understat
26985,1109,Sevilla,Lucas Ocampos,3,90.09,28.08,0.0703,Saved,Right Foot,Open Play,a,Rebound,,2024,understat
26985,12305,Sevilla,Isaac Romero,6,90.72,27.81,0.0553,Blocked,Right Foot,Open Play,a,Cross,Juanlu Sanchez,2024,understat
26985,7981,Sevilla,Nianzou Kouassi,9,97.02,37.06,0.1058,Off T,Head,From Corner,a,Cross,Dodi Lukebakio,2024,understat
26985,9809,Sevilla,José Ángel Carmona,16,78.54,17.75,0.0151,Off T,Right Foot,Open Play,a,Pass,Juanlu Sanchez,2024,understat
26985,7174,Sevilla,Adrià Pedrosa,17,74.87,41.96,0.0135,Off T,Left Foot,Open Play,a,Dispossessed,,2024,understat
26985,5706,Sevilla,Dodi Lukebakio,39,90.09,43.86,0.0729,Off T,Right Foot,Open Play,a,Pass,Djibril Sow,2024,understat
26985,7981,Sevilla,Nianzou Kouassi,41,3.05,35.29,0.0,OwnGoal,Left Foot,Open Play,a,BallTouch,,2024,understat
26985,7888,Sevilla,Nemanja Gudelj,43,79.07,34.07,0.0224,Off T,Right Foot,Open Play,a,Pass,Lucas Ocampos,2024,understat
26985,8409,Sevilla,Juanlu Sanchez,51,91.77,35.16,0.0812,Off T,Right Foot,Open Play,a,None,,2024,understat
26985,8409,Sevilla,Juanlu Sanchez,60,100.07,31.08,0.6108,Goal,Right Foot,Open Play,a,Pass,Isaac Romero,2024,understat
26985,1109,Sevilla,Lucas Ocampos,63,86.42,48.48,0.0358,Blocked,Right Foot,Open Play,a,Chipped,Juanlu Sanchez,2024,understat
26985,5706,Sevilla,Dodi Lukebakio,73,98.6,25.02,0.2451,Off T,Left Foot,Open Play,a,Cross,Lucas Ocampos,2024,understat
26985,12305,Sevilla,Isaac Romero,74,90.62,35.97,0.0356,Off T,Head,Open Play,a,Cross,Jesús Navas,2024,understat
26985,1109,Sevilla,Lucas Ocampos,74,79.8,33.66,0.0266,Off T,Right Foot,Open Play,a,Pass,Juanlu Sanchez,2024,understat
26985,1109,Sevilla,Lucas Ocampos,78,79.38,37.74,0.0255,Saved,Right Foot,Open Play,a,Pass,Djibril Sow,2024,understat
26985,2624,Sevilla,Djibril Sow,89,95.02,38.08,0.433,Saved,Right Foot,Open Play,a,Pass,Adrià Pedrosa,2024,understat
26985,2624,Sevilla,Djibril Sow,92,94.71,28.22,0.0762,Saved,Right Foot,Open Play,a,Cross,Jesús Navas,2024,understat
26985,7981,Sevilla,Nianzou Kouassi,96,96.7,32.91,0.0683,Off T,Head,Set Piece,a,Aerial,Jesús Navas,2024,understat
26986,2183,Osasuna,Rubén García,12,92.5,36.18,0.0592,Off T,Head,Open Play,h,Cross,Abel Bretones,2024,understat
26986,2183,Osasuna,Rubén García,19,92.4,32.03,0.0556,Saved,Left Foot,Open Play,h,Aerial,,2024,understat
26986,1235,Osasuna,Ante Budimir,27,92.3,43.32,0.0639,Blocked,Left Foot,Open Play,h,Pass,Moi Gómez,2024,understat
26986,7857,Osasuna,Jon Moncayola,48,97.75,31.21,0.085,Off T,Left Foot,Open Play,h,None,,2024,understat
26986,2183,Osasuna,Rubén García,53,96.5,29.99,0.0485,Off T,Head,Set Piece,h,Aerial,Abel Bretones,2024,understat
26986,1235,Osasuna,Ante Budimir,56,89.78,30.6,0.0508,Blocked,Left Foot,Open Play,h,Cross,Abel Bretones,2024,understat
26986,1235,Osasuna,Ante Budimir,57,89.67,35.5,0.0707,Saved,Left Foot,Open Play,h,Pass,Aimar Oroz,2024,understat
26986,7604,Osasuna,Alejandro Catena,58,95.76,30.87,0.0307,Saved,Head,From Corner,h,Aerial,Moi Gómez,2024,understat
26986,8424,Osasuna,Aimar Oroz,63,99.22,34.95,0.504,Off T,Head,Open Play,h,Cross,Jon Moncayola,2024,understat
26986,10143,Osasuna,Bryan Zaragoza,70,91.25,41.82,0.0708,Blocked,Right Foot,Open Play,h,TakeOn,Jesús Areso,2024,understat
26986,7604,Osasuna,Alejandro Catena,72,99.54,31.48,0.5112,Off T,Head,Set Piece,h,Cross,Rubén García,2024,understat
26986,8424,Osasuna,Aimar Oroz,76,84.73,37.67,0.0506,Blocked,Left Foot,Open Play,h,Pass,Rubén García,2024,understat
26986,8424,Osasuna,Aimar Oroz,77,91.98,36.65,0.0185,Saved,Head,Open Play,h,Aerial,Bryan Zaragoza,2024,understat
26986,8424,Osasuna,Aimar Oroz,78,85.57,37.33,0.0403,Blocked,Right Foot,From Corner,h,None,,2024,understat
