canonical_id,canonical_name,nationality,birth_date,position,id_sofascore,id_understat,id_transfermarkt,id_statsbomb,id_whoscored,created_at
3,Álvaro Killane,Argentina,2004-12-14,Portero,,,1036451,,,2026-04-21 23:45:44.771660
4,Victor Puig,España,2005-08-15,Portero,,,1310075,,,2026-04-21 23:45:44.771660
5,Israel Mora,España,2005-04-19,Portero,,,1361456,,,2026-04-21 23:45:44.771660
10,Álex Suárez,España,1993-03-18,Defensa central,,,510396,,,2026-04-21 23:45:44.771660
11,Valentino Raca,España,2005-01-05,Defensa central,,,1064395,,,2026-04-21 23:45:44.771660
12,Álex Muñoz,España,1994-07-30,Lateral izquierdo,,,243760,,,2026-04-21 23:45:44.771660
17,Valentín Pezzolesi,España,2007-04-16,Lateral derecho,,,1271065,,,2026-04-21 23:45:44.771660
18,Dário Essugo,Portugal,2005-03-14,Pivote,,,670717,,,2026-04-21 23:45:44.771660
22,José Campaña,España,1993-05-31,Mediocentro,,,120095,,,2026-04-21 23:45:44.771660
26,Iván Gil,España,2000-01-18,Mediocentro ofensivo,,,611075,,,2026-04-21 23:45:44.771660
28,Josito González,Venezuela,2006-03-27,Mediocentro ofensivo,,,1411351,,,2026-04-21 23:45:44.771660
34,Pejiño,España,1996-07-29,Extremo derecho,,,534379,,,2026-04-21 23:45:44.771660
35,Saliou Mandiang,Senegal,2003-04-13,Extremo derecho,,,1079049,,,2026-04-21 23:45:44.771660
37,Fábio Silva,Portugal,2002-07-19,Delantero centro,,,505653,,,2026-04-21 23:45:44.771660
42,Elías Romero,España,2004-05-11,Delantero centro,,,1146039,,,2026-04-21 23:45:44.771660
44,André Ferreira,Portugal,1996-05-29,Portero,,,290346,,,2026-04-21 23:45:44.771660
45,Álvaro Aceves,España,2003-07-26,Portero,,,710474,,,2026-04-21 23:45:44.771660
46,Arnau Rafús,España,2003-04-27,Portero,,,636686,,,2026-04-21 23:45:44.771660
56,Henrique Silva,Brasil,1994-04-25,Lateral izquierdo,,,204072,,,2026-04-21 23:45:44.771660
57,Raúl Chasco,España,2003-09-13,Lateral izquierdo,,,834486,,,2026-04-21 23:45:44.771660
61,Koke Iglesias,España,2005-03-16,Lateral derecho,,,895333,,,2026-04-21 23:45:44.771660
65,Tamás Nikitscher,Hungría,1999-11-03,Pivote,,,633056,,,2026-04-21 23:45:44.771660
66,César de la Hoz,España,1992-03-30,Pivote,,,226261,,,2026-04-21 23:45:44.771660
68,Víctor Meseguer,España,1999-06-09,Mediocentro,,,658269,,,2026-04-21 23:45:44.771660
71,Adrián Verde,España,2002-08-03,Mediocentro,,,702662,,,2026-04-21 23:45:44.771660
74,Raúl Moro,España,2002-12-05,Extremo izquierdo,,,624942,,,2026-04-21 23:45:44.771660
75,Stipe Biuk,Croacia,2002-12-26,Extremo izquierdo,,,587520,,,2026-04-21 23:45:44.771660
