shot_id,match_id,player_id,team_id,minute,x,y,xg,result,shot_type,situation,data_source
22649,1896,753,7,26,81.6900,37.3300,0.0319,Goal,Right Foot,Open Play,understat
22650,1896,756,7,76,81.2700,49.3000,0.0208,Saved,Right Foot,Open Play,understat
22651,1896,756,7,79,76.3300,50.3200,0.0363,Saved,Right Foot,Direct Freekick,understat
22652,1896,766,7,79,96.7000,27.8100,0.0836,Blocked,Right Foot,From Corner,understat
22653,1896,471,16,5,86.0000,18.6300,0.0191,Off T,Left Foot,Open Play,understat
22654,1896,449,16,21,93.6600,37.8800,0.0694,Blocked,Head,Set Piece,understat
22655,1896,471,16,39,75.8100,33.2500,0.0141,Off T,Left Foot,Open Play,understat
22656,1896,464,16,51,94.4000,35.9000,0.2278,Saved,Left Foot,Open Play,understat
22657,1896,449,16,53,101.9500,43.7900,0.0381,Blocked,Left Foot,From Corner,understat
22658,1896,473,16,63,95.6500,30.6700,0.0792,Goal,Head,From Corner,understat
22659,1896,453,16,84,73.2900,48.7600,0.0113,Off T,Right Foot,Open Play,understat
22660,1897,178,1,4,81.2700,48.3500,0.0228,Blocked,Right Foot,Open Play,understat
22661,1897,175,1,5,99.0200,38.0800,0.3703,Goal,Head,From Corner,understat
22662,1897,204,1,19,90.5100,34.2000,0.4115,Saved,Right Foot,Open Play,understat
22663,1897,204,1,19,85.8900,40.8700,0.0587,Blocked,Right Foot,Open Play,understat
22664,1897,191,1,37,85.5700,33.3900,0.0961,Blocked,Left Foot,Open Play,understat
22665,1897,204,1,37,92.7200,46.3100,0.1108,Off T,Right Foot,Open Play,understat
22666,1897,178,1,41,88.8300,47.9400,0.0417,Off T,Left Foot,Open Play,understat
22667,1897,201,1,43,97.5500,33.1200,0.0652,Off T,Head,From Corner,understat
22668,1897,187,1,45,86.2000,21.2800,0.0407,Blocked,Right Foot,Open Play,understat
22669,1897,184,1,51,102.2700,19.8600,0.0551,Off T,Right Foot,Open Play,understat
22670,1897,194,1,52,84.1000,48.5500,0.0290,Off T,Left Foot,Open Play,understat
22671,1897,191,1,56,43.8900,17.0000,0.0074,Off T,Right Foot,Open Play,understat
22672,1897,187,1,63,99.2200,37.7400,0.0817,Saved,OtherBodyPart,From Corner,understat
22673,1897,189,1,84,78.7500,35.0900,0.0229,Off T,Right Foot,Open Play,understat
22674,1897,189,1,85,85.1500,33.5200,0.0581,Off T,Right Foot,Open Play,understat
22675,1897,184,1,89,95.3400,28.7600,0.1219,Blocked,Right Foot,Open Play,understat
22676,1897,194,1,90,74.5500,35.1600,0.0150,Off T,Left Foot,Open Play,understat
22677,1897,420,25,16,94.1800,31.5500,0.0853,Off T,Right Foot,Open Play,understat
22678,1897,440,25,34,84.9500,36.3100,0.0494,Blocked,Right Foot,Open Play,understat
22679,1897,437,25,38,83.6800,40.1900,0.0529,Blocked,Right Foot,Open Play,understat
22680,1897,440,25,59,95.9700,29.6500,0.3687,Post,Right Foot,Open Play,understat
22681,1897,424,25,66,75.0800,45.6300,0.0148,Blocked,Right Foot,Open Play,understat
22682,1897,427,25,71,97.6500,30.1900,0.5033,Goal,Right Foot,Open Play,understat
22683,1897,442,25,85,97.2300,32.5700,0.1360,Blocked,Right Foot,Open Play,understat
22684,1897,427,25,87,96.9200,37.6700,0.1276,Blocked,Right Foot,Open Play,understat
22685,1897,438,25,92,82.3200,21.1500,0.0408,Off T,Left Foot,Open Play,understat
22686,1898,604,5,22,82.1100,43.9300,0.0245,Off T,Right Foot,Open Play,understat
22687,1898,620,5,62,98.2800,32.5000,0.3468,Saved,Head,Open Play,understat
22688,1898,612,5,65,86.2000,27.2700,0.0495,Goal,Right Foot,Open Play,understat
22689,1898,620,5,83,98.1800,44.2000,0.2587,Goal,Left Foot,Open Play,understat
22690,1898,620,5,91,92.7200,41.8200,0.0671,Off T,Left Foot,Open Play,understat
22691,1899,29,26,13,90.3000,48.6200,0.0416,Saved,Right Foot,Open Play,understat
22692,1899,41,26,27,94.1800,26.4500,0.0670,Off T,Left Foot,From Corner,understat
22693,1899,29,26,29,96.1800,34.4100,0.1104,Off T,Head,Open Play,understat
22694,1899,6,26,37,83.7900,43.2500,0.0262,Off T,Left Foot,Set Piece,understat
